,DAY_HOUR,H_M1005,A_M1005,H_M2005,A_M2005,H_M3005,A_M3005,H_M1010,A_M1010,H_M2010,A_M2010,H_M3010,A_M3010,H_M1020,A_M1020,H_M2020,A_M2020,H_M3020,A_M3020,H_M1050,A_M1050,H_M2050,A_M2050,H_M3050,A_M3050,H_M1100,A_M1100,H_M2100,A_M2100,H_M3100,A_M3100,P_OFFICIAL,MEAN_M_5,MEAN_M_10,MEAN_M_20,MEAN_M_50,MEAN_M_100
0,01-00,,,,0.073,,,,,,0.097,,,,0.999,0.095,,,1.091,,1.499,,,,,,0.335,,,,,0.0,0.073,0.097,0.7283333333333334,1.499,0.335
1,01-01,,,,0.073,,,,,,0.097,,,,1.0,0.095,,,0.118,,1.498,,,,,,3.09,,,,,0.0,0.073,0.097,0.4043333333333334,1.498,3.09
2,01-02,,,,0.073,,,,,,0.097,,,,0.11,0.094,,,0.119,,0.162,,,,,,0.335,,,,,0.0,0.073,0.097,0.1076666666666667,0.162,0.335
3,01-03,,,,0.073,,,,,,0.097,,,,0.112,0.095,,,0.118,,0.162,,,,,,0.334,,,,,0.0,0.073,0.097,0.1083333333333333,0.162,0.334
4,01-04,,,,0.074,,,,,,0.098,,,,0.113,0.094,,,0.119,,0.162,,,,,,0.334,,,,,0.0,0.074,0.098,0.1086666666666667,0.162,0.334
5,01-05,,,,0.074,,,,,,0.098,,,,1.994,0.093,,,0.119,,1.629,,,,,,0.335,,,,,0.0,0.074,0.098,0.7353333333333335,1.629,0.335
6,01-06,,,,0.074,,,,,,0.098,,,,1.995,0.095,,,0.119,,1.515,,,,,,0.334,,,,,0.0,0.074,0.098,0.7363333333333335,1.515,0.334
7,01-07,,,,0.074,,,,,,0.098,0.021,,,0.115,0.093,,,1.208,,0.161,,,,,,0.334,,,,,0.0,0.074,0.0595,0.472,0.161,0.334
8,01-08,,,,0.074,,,,,,0.099,0.023,,,0.115,0.093,,,0.12,,0.162,,,,,,0.335,,,,,0.0,0.074,0.061,0.1093333333333333,0.162,0.335
9,01-09,,,,0.075,,,,,,0.099,0.023,,,0.116,0.094,,,0.12,,0.162,,,,,,0.334,,,,,0.2,0.075,0.061,0.11,0.162,0.334
10,01-10,,,,0.075,,,,,,0.099,0.025,,,0.116,0.094,,,0.12,,0.162,,,,,,0.335,,,,,0.0,0.075,0.062,0.11,0.162,0.335
11,01-11,,,,0.075,,,,,,0.099,0.026,,,0.117,0.093,,,0.12,,0.162,,,,,,0.335,,,,,0.0,0.075,0.0625,0.11,0.162,0.335
12,01-12,,,,0.075,,,,,,0.1,,,,0.116,0.095,,,0.12,,0.162,,,,,,0.335,,,,,0.0,0.075,0.1,0.1103333333333333,0.162,0.335
13,01-13,,,,0.694,,,,,,0.916,,,,1.082,0.096,,,0.121,,0.162,,,,,,3.098,,,,,0.0,0.694,0.916,0.4330000000000001,0.162,3.098
14,01-14,,,,0.076,,,,,,0.099,0.025,,,0.116,0.093,,,0.121,,0.161,,,,,,0.334,,,,,0.0,0.076,0.062,0.11,0.161,0.334
15,01-15,,,,0.075,,,,,,0.099,,,,0.115,0.094,,,0.119,,0.16,,,,,,0.335,,,,,0.0,0.075,0.099,0.1093333333333333,0.16,0.335
16,01-16,,,,0.073,,,,,,0.099,,,,0.112,0.094,,,0.119,,0.159,,,,,,0.335,,,,,0.0,0.073,0.099,0.1083333333333333,0.159,0.335
17,01-17,,,,0.072,,,,,,0.098,,,,1.034,0.093,,,0.118,,0.158,,,,,,0.335,,,,,0.0,0.072,0.098,0.415,0.158,0.335
18,01-18,,,,0.066,,,,,,0.898,,,,2.709,0.092,,,0.117,,1.409,,,,,,0.335,,,,,0.0,0.066,0.898,0.9726666666666667,1.409,0.335
19,01-19,,,,0.062,,,,,,0.096,,,,1.846,0.092,,,2.013,,0.155,,,,,,0.335,,,,,0.0,0.062,0.096,1.317,0.155,0.335
20,01-20,,,,0.061,,,,,,0.096,,,,0.942,0.092,,,0.115,,0.152,,,,,,0.335,,,,,0.0,0.061,0.096,0.383,0.152,0.335
21,01-21,,,,0.061,,,,,,0.094,,,,0.105,0.091,,,0.114,,0.151,,,,,,0.335,,,,,0.0,0.061,0.094,0.1033333333333333,0.151,0.335
22,01-22,,,,0.061,,,,,,0.094,,,,0.105,0.092,,,0.114,,0.151,,,,,,0.334,,,,,0.0,0.061,0.094,0.1036666666666667,0.151,0.334
23,01-23,,,,0.061,,,,,,0.093,,,,0.105,0.093,,,0.114,,0.151,,,,,,0.335,,,,,0.0,0.061,0.093,0.104,0.151,0.335
